	Name	Rating	Reviews	Company Detais	Salaries	Interviews	Jobs
68	Welkin Telecom Infra	3.4	70 Reviews	Telecom | 5k-10k Employees | 19 years old | Kolkata +10 more	302 Salaries	-- Interviews	-- Jobs
69	Echjay Industries	4.0	70 Reviews	Auto Components | 1k-5k Employees | 53 years old | Mumbai +4 more	436 Salaries	3 Interviews	7 Jobs
70	Ocl Iron & Steel	4.1	70 Reviews	Iron & Steel | 11-50 Employees | Public | 22 years old | Rajgangpur +7 more	430 Salaries	2 Interviews	-- Jobs
71	Rohini Industrial Electricals	4.2	70 Reviews	Electrical Equipment | 201-500 Employees | Public | 40 years old | Mumbai +15 more	265 Salaries	1 Interviews	-- Jobs
72	Mother’s Pride	3.7	70 Reviews	Education & Training | 1k-5k Employees | 27 years old | Delhi/NCR +13 more	393 Salaries	1 Interviews	2 Jobs
73	Inspace Technologies	4.1	70 Reviews	Software Product | 51-200 Employees | 20 years old | Chennai +10 more	592 Salaries	-- Interviews	1 Jobs
74	Mothercare	3.8	70 Reviews	Retail | 51-200 Employees | Public | 62 years old | Watford +22 more	244 Salaries	2 Interviews	-- Jobs
75	Intelegencia	3.4	70 Reviews	IT Services & Consulting | 201-500 Employees | 14 years old | Atlanta +3 more	634 Salaries	7 Interviews	10 Jobs
76	Sportking	3.7	70 Reviews	Fashion & Textile | 1k-5k Employees | Public | 34 years old | Ludhiana +8 more	345 Salaries	3 Interviews	-- Jobs
77	Nitin Spinners	4.0	70 Reviews	Fashion & Textile | 1k-5k Employees | Public | 31 years old | Bhilwara +4 more	425 Salaries	1 Interviews	-- Jobs
78	Woodlands Multispeciality Hospital	3.6	70 Reviews	Healthcare | 501-1k Employees | 77 years old | Kolkata +2 more	272 Salaries	5 Interviews	16 Jobs
79	Qualitas Global QA Labs	2.9	70 Reviews	IT Services & Consulting | 201-500 Employees | 9 years old | Pune +1 more	580 Salaries	2 Interviews	8 Jobs
80	Richa Industries	3.7	70 Reviews	Engineering & Construction | 501-1k Employees (Global) | Public | 30 years old | Faridabad +11 more	211 Salaries	-- Interviews	-- Jobs
81	Secure Network Solutions	4.5	70 Reviews	IT Services & Consulting | 51-200 Employees | 23 years old | Chennai +9 more	235 Salaries	1 Interviews	8 Jobs
82	Kotak Education Foundation	3.5	70 Reviews	Non-Profit | 201-500 Employees | 16 years old | Mumbai +3 more	434 Salaries	2 Interviews	5 Jobs
83	Intelegencia	3.4	70 Reviews	IT Services & Consulting | 201-500 Employees | 14 years old | Atlanta +3 more	634 Salaries	7 Interviews	10 Jobs
84	SunSource Energy	4.1	70 Reviews	Power | 51-200 Employees | 13 years old | Noida +7 more	515 Salaries	4 Interviews	-- Jobs
85	Precot Meridian	3.7	70 Reviews	Beauty & Personal Care | 1k-5k Employees | Public | 61 years old | Coimbatore +7 more	334 Salaries	2 Interviews	-- Jobs
86	Lifeline Hospital India	4.2	70 Reviews	Healthcare | 201-500 Employees (Global) | 26 years old | Chennai +26 more	369 Salaries	1 Interviews	-- Jobs
87	Kelvion	3.9	70 Reviews	Industrial Machinery | 51-200 Employees | 103 years old | Bochum +8 more	625 Salaries	6 Interviews	3 Jobs
88	NMC Healthcare	3.6	70 Reviews	Healthcare | 10k-50k Employees | 49 years old | Abu Dhabi +9 more	456 Salaries	4 Interviews	-- Jobs
89	Inspace Technologies	4.1	70 Reviews	Software Product | 51-200 Employees | 20 years old | Chennai +10 more	592 Salaries	-- Interviews	1 Jobs
90	Sportking	3.7	70 Reviews	Fashion & Textile | 1k-5k Employees | Public | 34 years old | Ludhiana +8 more	345 Salaries	3 Interviews	-- Jobs
91	Nitin Spinners	4.0	70 Reviews	Fashion & Textile | 1k-5k Employees | Public | 31 years old | Bhilwara +4 more	425 Salaries	1 Interviews	-- Jobs
92	C1 India	3.9	70 Reviews	IT Services & Consulting | 51-200 Employees | 23 years old | Gurgaon/Gurugram +7 more	540 Salaries	5 Interviews	13 Jobs
93	Rohini Industrial Electricals	4.2	70 Reviews	Electrical Equipment | 201-500 Employees | Public | 40 years old | Mumbai +15 more	265 Salaries	1 Interviews	-- Jobs
94	Freight Systems	3.8	70 Reviews	Ports & Shipping | 501-1k Employees | Public | 35 years old | Dubai +13 more	561 Salaries	2 Interviews	11 Jobs
95	Mother’s Pride	3.7	70 Reviews	Education & Training | 1k-5k Employees | 27 years old | Delhi/NCR +13 more	393 Salaries	1 Interviews	2 Jobs
96	Mothercare	3.8	70 Reviews	Retail | 51-200 Employees | Public | 62 years old | Watford +22 more	244 Salaries	2 Interviews	-- Jobs
97	Asit C Mehta Investment Interrmediates	3.3	70 Reviews	Investment Banking / Venture Capital / Private Equity | 51-200 Employees | 38 years old | Mumbai +10 more	387 Salaries	-- Interviews	1 Jobs
98	Black Turtle	3.4	70 Reviews	Recruitment | 201-500 Employees | 6 years old | Mumbai +6 more	342 Salaries	2 Interviews	1k Jobs
99	Axiom Consulting	3.6	70 Reviews	Design | 51-200 Employees | 22 years old | Bengaluru +4 more	588 Salaries	5 Interviews	5 Jobs
100	Alliance India	4.1	71 Reviews	Non-Profit | 51-200 Employees | 24 years old | New York City +14 more	504 Salaries	5 Interviews	-- Jobs
101	Ecolab Digital Center	3.5	71 Reviews	IT Services & Consulting | 501-1k Employees | Bengaluru/Bangalore +2 more	912 Salaries	11 Interviews	20 Jobs
102	PEARCE SERVICES	3.3	71 Reviews	201-500 Employees | Mohali +6 more	366 Salaries	10 Interviews	-- Jobs
103	Sanvie Retail	3.7	71 Reviews	Kolkata +21 more	227 Salaries	4 Interviews	-- Jobs
104	SolarSquare Energy	3.0	71 Reviews	51-200 Employees | Pune +18 more	355 Salaries	10 Interviews	39 Jobs
105	Data is Good	4.2	71 Reviews	EdTech | 51-200 Employees | 4 years old | Noida +2 more	166 Salaries	2 Interviews	13 Jobs
106	BizGurukul	3.9	71 Reviews	51-200 Employees | 3 years old | Noida +9 more	207 Salaries	7 Interviews	20 Jobs
107	Mittsure Technologies	3.5	71 Reviews	Education & Training | 201-500 Employees | 4 years old | Jaipur +12 more	222 Salaries	1 Interviews	18 Jobs
108	Mylab Discovery Solutions	3.3	71 Reviews	Internet | 51-200 Employees | Startup | 7 years old | Pune +14 more	349 Salaries	6 Interviews	3 Jobs
109	Reliance Composites	4.0	71 Reviews	6 years old | Vadodara +19 more	232 Salaries	4 Interviews	-- Jobs
110	Simple Energy	3.4	71 Reviews	Automobile | 201-500 Employees | Startup | 4 years old | Bangalore +2 more	368 Salaries	6 Interviews	27 Jobs
